ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,ASSAY_TYPE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_TYPE,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,YEAR_START,SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TEST_TIME,MORTALITY_ADJUSTED,RESISTANCE_STATUS,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
DISPUB24_Q7LW7Q,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Agboville,IRCI5,5.931800,-4.218100,Discriminating concentration bioassays,WHO tube test,Carbamates,Bendiocarb,0.1%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),105,24hrs,70.00,Confirmed resistance,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_Q7ZO6F,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),101,24hrs,98.00,Susceptible,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_R6OE0U,Côte d’Ivoire,CI,Goh,Gagnoa 1,Gagnoa,IRCI26,6.151442,-5.951540,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,41.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
DISPUB24_R7MK6M,Côte d’Ivoire,CI,undefined,undefined,Soubre,IRCI104,5.786623,-6.589010,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),83,24hrs,19.28,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_R8GC6T,Côte d’Ivoire,CI,Hambol,Dabakala,Dabakala,IRCI92,8.363330,-4.428611,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),83,24hrs,26.21,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_S8ZV4U,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,Discriminating concentration bioassays,WHO tube test,Organochlorines,DDT,4%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),102,24hrs,36.00,Confirmed resistance,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_S8ZX4Z,Côte d’Ivoire,CI,Gbeke,Bouaké Sud,Bouaké,IRCI16,7.666667,-5.016600,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),105,24hrs,0.95,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_T7MG0C,Côte d’Ivoire,CI,Kabadougou,Odienne,Katiola,IRCI35,9.659167,-7.629722,Discriminating concentration bioassays,WHO tube test,Organophosphates,Malathion,5%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,24hrs,71.00,Confirmed resistance,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_U2AR5A,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Agboville,IRCI5,5.931800,-4.218100,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),109,24hrs,99.00,Susceptible,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_U9NT7V,Côte d’Ivoire,CI,Bagoue,Tengrela,Tingrela,IRCI69,10.438800,-6.398200,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),95,24hrs,9.47,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_V0CR7A,Côte d’Ivoire,CI,Goh,Gagnoa 1,Gagnoa,IRCI26,6.151442,-5.951540,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,10.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
